,UtcTime,ProcessId,EventID,User,Image,ImageLoaded,CommandLine,ParentImage,ParentCommandLine,DestinationPort,Protocol,QueryName,TargetFilename,TargetObject
0,2020-05-12 15:05:19.447,5380,7,,C:\Windows\explorer.exe,C:\Windows\System32\Windows.System.Launcher.dll,,,,,,,,
1,2020-05-12 15:05:19.493,5380,11,,C:\Windows\Explorer.EXE,,,,,,,,C:\Users\anon\AppData\Roaming\Microsoft\Windows\Recent\xmlEvents2.lnk,
2,2020-05-12 15:05:19.337,5080,11,,C:\Windows\system32\mmc.exe,,,,,,,,C:\Users\anon\Desktop\xmlEvents2.xml,
3,2020-05-12 15:05:17.066,1520,3,DESKTOP-TATBGQH\anon,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,8080,tcp,,,
4,2020-05-12 15:05:13.770,4,3,NT AUTHORITY\SYSTEM,System,,,,,137,udp,,,
5,2020-05-12 15:05:13.770,4,3,NT AUTHORITY\SYSTEM,System,,,,,137,udp,,,
6,2020-05-12 15:05:12.012,1520,3,DESKTOP-TATBGQH\anon,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,8080,tcp,,,
7,2020-05-12 15:05:12.368,1932,22,,C:\Windows\Sysmon.exe,,,,,,,254.3.107.13.in-addr.arpa.,,
8,2020-05-12 15:05:10.683,9728,22,,C:\Program Files (x86)\F-Secure\PSB\Ultralight\sensor\1585128330\fsatps.exe,,,,,,,s-ring.msedge.net,,
9,2020-05-12 15:05:10.683,9728,22,,C:\Program Files (x86)\F-Secure\PSB\Ultralight\sensor\1585128330\fsatps.exe,,,,,,,c-ring.msedge.net,,
10,2020-05-12 15:05:07.838,4,3,NT AUTHORITY\SYSTEM,System,,,,,137,udp,,,
11,2020-05-12 15:05:07.667,9728,22,,C:\Program Files (x86)\F-Secure\PSB\Ultralight\sensor\1585128330\fsatps.exe,,,,,,,s-ring.msedge.net,,
